,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,duration,country,directors,avg_vote,critics_vote,public_vote,description
233,2012-11-20,Rise of the Guardians,145000000,103412758,306900902,23773465,PG,Adventure,3672,97,2012,94.0,United States,"Peter Ramsey, William Joyce",6.8,6.94,7.0,"Pitch, an evil spirit also known as the Black Man, threatens to conquer the whole world and bring darkness to the infancy of many children. To ward off this danger, the guardians of childhood Santa Claus, Sandman, Dentolino and Calmoniglio, are forced to enlist the help of Jack Frost, who lives in the body of a reluctant teenager. Together they will form a team of atypical super heroes ready to do anything to defend children from fear."
234,2005-04-08,Sahara,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,124,1983,100.0,United States,Andrew V. McLaglen,4.9,4.0,6.0,"We are in 1928: Dale Gordon participates, disguised as a man, in a dangerous rally in the desert. Among the competitors is a German who sells weapons to Arabs engaged in a war in which Dale and his faithful mechanics become involved. Taken prisoner, Dale agrees to marry the tribal chief Jaffar, madly in love with her. However, he escapes from him immediately after the wedding: only for the time to win the rally, however, then he returns. Cartoon in which everyone, from the director to the actors, take the matter lightly, in the face of the public."
235,2005-04-08,Sahara,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,124,2005,127.0,"United States, Spain",Breck Eisner,5.7,5.88,5.0,"The explorer Dick Pitt and his adventure partner Al Giordino find themselves in Africa, on the trail of the ""Ship of Death"". On the black continent, the two meet Dr. Eva Rojas, who is investigating a dangerous epidemic ..."
236,2005-04-08,Sahara,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,124,1943,97.0,United States,Zoltan Korda,7.4,7.33,7.0,"In June 1942, during the retreat from Tobruk, a mixed crew with three Americans, five English, a French and a Sudanese defends an oasis with a tank, while also keeping an eye on two prisoners: an Italian and a German..."
237,2016-07-13,Ghostbusters,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,117,1984,107.0,United States,Ivan Reitman,7.4,7.21,8.0,"Peter, Raymond and Egon have been kicked out of college, but their partnership against the ghosts that populate New York and cause serious ailments works wonders. It's a tough fight but our heroes fear nothing, not even the evil one."
238,2016-07-13,Ghostbusters,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,117,2016,116.0,United States,Paul Feig,4.5,4.47,5.0,"Abby and Erin are a couple of semi-unknown writers who decide to publish a book about ghosts. Their thesis is that these are absolutely real. Later Erin gets a prestigious position as a lecturer at Columbia University. When the forgotten book on ghosts reappears, she will become the laughing stock of the faculty and will be forced to leave her job. Her credibility is lost and Erin then decides to reunite with Abby and open a ghost-catcher company. Choice that turns out to be a winner: Manhattan is invaded by a new wave of ghosts and there will be nothing else for the team to do but hunt it down."
239,2002-11-22,Die Another Day,142000000,160942139,431942139,47072040,PG-13,Action,3377,133,2002,132.0,"Great Britain, United States",Lee Tamahori,4.9,4.36,6.0,"James Bond is in charge of a secret operation in North Korea, compromised (with dramatic results) by an unknown ""mole"". Captured and transported to a military prison, 007 is however suddenly released from prison: everyone thinks that, under torture, he has revealed the names of undercover agents, which causes the suspension of his ""license to kill"". To rehabilitate himself, Bond will have to track down who he cheated on ..."
240,2009-05-08,Star Trek,140000000,257730019,386839614,79204289,PG-13,Adventure,4053,125,2008,122.0,United States,J.J. Abrams,6.7,6.7,7.0,"Yet another adventure of Captain Kirk and the Enterprise, this time in a prequel to the Classic Series, with the meeting between young Kirk (Chris Pine) and Spock (Zachary Quinto) at the time of attending the Academy at the center of the narrative."
241,1998-07-01,Armageddon,140000000,201578182,554600000,36089972,PG-13,Adventure,3184,150,1998,150.0,United States,Michael Bay,4.6,4.27,5.0,"An asteroid the size of the state of Texas is heading towards Earth at the speed of 22,000 miles per hour. NASA director Dan Truman has no choice: he must set up and send a crew into space to try to thwart the threat. The mission is entrusted to Harry S. Stamper, who together with his men must land on the asteroid, pierce its surface and place a nuclear bomb."
242,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,65058524,PG-13,Action,3715,124,2011,124.0,United States,Joe Johnston,6.0,5.92,6.0,"After being declared unfit for military service, Steve Rogers volunteers to participate in a special program that will make him a super soldier, whose nom de guerre will be Captain America. Under this new identity he will unite with comrades Bucky Barnes and Peggy Carter to fight the diabolical organization Hydra, led by the infamous Red Skull."
243,2016-01-23,Kung Fu Panda 3,140000000,143528619,521170825,41282042,PG,Adventure,3987,94,2016,95.0,"United States, China","Jennifer Yuh, Alessandro Carloni",5.7,5.5,6.0,"After finding his father believed to have been lost for some time, the panda Po finds himself having to deal with an unexpected situation. When the fearsome Kai threatens to annihilate all of China's kung fu masters, Po stops being a student to become a teacher and train an entire village in martial arts."
244,1998-07-10,Lethal Weapon 4,140000000,130444603,285400000,34048124,R,Action,3117,127,1998,127.0,United States,Richard Donner,5.9,5.75,6.0,"A freighter filled with Chinese crammed like beasts in the hold of a ship gives Murtaugh the opportunity to free the slaves that the Chinese mafia smuggled into the United States. Agent Riggs, who is about to become a father, helps him in his business."
245,2003-12-05,The Last Samurai,140000000,111110575,456810575,24271354,R,Action,2938,154,2003,153.0,"United States, New Zealand, Japan",Edward Zwick,6.7,6.45,7.0,"The young emperor of Japan entrusts Captain Nathan Algren with the task of educating a new conscript army to join the samurai, the dynasty of warriors who have consecrated their lives to the service of the country. But when the sovereign's advisers attempt to eliminate the samurai to pave the way for a more westernized and therefore more open to trade government, Algren himself finds himself unexpectedly fascinated and influenced by their beliefs, which remind him of the man he once was. ..."
246,2014-12-05,Exodus: Gods and Kings,140000000,65014513,268314513,24115934,PG-13,Drama,3503,150,2014,142.0,"Great Britain, United States",Ridley Scott,5.6,5.68,6.0,"The biblical story of the rebel leader Moses and his rebellion against the Egyptian pharaoh Ramses II, characterized by the liberation of over 400,000 slaves to be guided towards a legendary escape and by the terrifying deadly plagues affecting the Egyptian lands."
247,2016-06-30,The BFG,140000000,55483770,199646680,18775350,PG,Adventure,3392,115,2016,115.0,"United States, Great Britain, Canada",Steven Spielberg,6.0,6.29,6.0,"A little girl named Sophie meets the great gentle giant. Despite his intimidating appearance, the giant proves to be kindhearted and marginalized by his fellows because he refuses to eat boys and girls."
248,2019-10-03,Gemini Man,140000000,48546770,166623705,20552372,PG-13,Action,3642,116,2019,116.0,United States,Ang Lee,4.8,5.0,5.0,"A professional killer becomes the target of a mysterious outsider, who pursues him and wishes to kill him. He will discover in spite of himself that he is a younger version of himself."
249,2016-02-24,Gods of Egypt,140000000,31153464,138836756,14123903,PG-13,Adventure,3117,127,2016,127.0,United States,Alex Proyas,3.8,3.0,5.0,"Set, the merciless god of darkness, sits on the throne of Egypt and plunged the once peaceful and prosperous empire into chaos and conflict. Few dare to rebel against his power but a young thief, whose beloved woman has been taken prisoner, will try to dethrone him with the help of the powerful god Horus."
250,2002-05-03,Spider-Man,139000000,403706375,821706375,114844116,PG-13,Adventure,3876,121,2002,121.0,United States,Sam Raimi,7.1,6.88,7.0,"Orphaned at an early age, shy (especially with Mary Jane Watson, the beautiful neighbor he had a soft spot for as a child) and a little messed up, Peter Parker grew up in Queens with Aunt May and Uncle Ben, who they want a world of good and to which he is very attached. One day, while witnessing a scientific demonstration on arachnids with his class, Peter is bitten by a genetically modified spider. He soon realizes that he has acquired strange powers that will transform him into Spider-Man, executioner-mutant: initially he uses his new appearance to sell the exclusive photos of the exploits of the ""Wall Climb"" to the local newspaper; then engages in a no-holds-barred battle with the evil Green Goblin aka Norman Osborn, scientist, businessman and father of his best friend Harry. And the belief in his mission is strengthened when Uncle Ben dies at the hands of a thug who had managed to escape him ..."
251,2009-03-06,Watchmen,138000000,107509799,186976250,55214334,R,Action,3611,161,2009,163.0,"Great Britain, United States",Zack Snyder,7.1,7.36,7.0,"In an alternative and dirty 1985 the glorious days of the masked ""vigilantes"" are about to end following some repressive actions carried out by the government, but when one of the veterans is found brutally murdered, an investigation begins to find the culprit. The reunited superheroes organize themselves to prevent their own destruction and in doing so they end up discovering a far more intricate and diabolical plan."
252,2005-07-29,Stealth,138000000,32116746,76416746,13251545,PG-13,Action,3495,121,2005,121.0,United States,Rob Cohen,4.0,3.6,4.0,"In the not too distant future, aviation developed a fighter jet piloted by artificial intelligence. The jet was placed on an aircraft carrier in the Pacific to ""learn"" combat maneuvers from the pilots on board. But when the computer develops its own thought, men must find a way to stop it before the war starts ..."
253,2008-06-13,The Incredible Hulk,137500000,134806913,265573859,55414050,PG-13,Adventure,3508,112,1977,120.0,United States,Kenneth Johnson,4.6,4.0,5.0,"Dr. David Bruce Banner, widowed following a terrible car accident, throws himself into in-depth studies of radiation, molecular biology and genetics in order to find a way for strength enhancement. Having found a connection with gamma rays, he decides to undergo himself as a guinea pig for an experiment. However, his nervous system is very damaged and it is so - that when something unleashes his anger - he begins to transform into a tremendously strong green being."
254,2008-06-13,The Incredible Hulk,137500000,134806913,265573859,55414050,PG-13,Adventure,3508,112,2008,114.0,United States,Louis Leterrier,5.8,5.47,6.0,"Scientist Bruce Banner (Norton) is busy trying to find a solution to his enormous problem: the gamma-ray contamination that has condemned him and that leads him to occasionally transform into the irrepressible and angry green being of immeasurable strength. live in perennial exile from his world and from the woman he loves, Betty Ross (Liv Tyler), also because he has to hide from those who hunt him to study him, neutralize him and steal the secret of his strength: General Thunderbolt Ross (William Hurt) who also hired Emil Blonsky (Tim Roth), a KGB soldier, well equipped and ready for anything, even to have a serum injected that should give him strength and special powers. But something goes wrong and Blonsky turns himself into a mutant monster, Abomination. Banner is thus faced with a dilemma: deciding whether to continue to be the Hulk and fight Abomination or find his own personal salvation at the expense of that of the community."
255,2001-07-11,Final Fantasy: The Spirits Within,137000000,32131830,85131830,11408853,PG-13,Adventure,2649,106,2001,105.0,"Japan, United States",Hironobu Sakaguchi,5.4,5.25,5.0,"2065: the Earth is exhausted due to an alien invasion. The mysterious creatures, arrived on a meteor, are vampires capable of absorbing energy from any living thing. The charming doctor Aki Ross tries to counter them, combining her medical knowledge and the indications that come to her from enigmatic and recurring dreams. But the dull military hierarchies oppose it."
256,2013-03-15,The Croods,135000000,187168425,573068425,43639736,PG,Adventure,4065,98,2013,90.0,United States,"Kirk De Micco, Chris Sanders",6.7,6.75,7.0,"Surviving the laws of nature in the prehistoric era is the main goal of the caveman Grug who, after yet another bad awakening due to a violent earthquake, decides to move with his entire family to another part of the world, in search of a new home in a more peaceful place. During the migration, in a path fraught with dangers, his daughter Hip runs into the young nomad Guy and falls in love with him, causing complete havoc due to the boy's progressive ideas, in stark contrast to the old school to which Grug belongs."
257,2015-12-25,The Revenant,135000000,183637894,532938302,474560,R,Adventure,3711,156,2015,151.0,United States,Alejandro González Iñárritu,7.3,7.4,7.0,"In the early 19th century, Hugh Glass (Leonardo DiCaprio), a fur trapper, is attacked by a bear while hunting. His companions abandon him to his fate, convinced that he cannot survive. Having saved himself from the accident, Hugh will elaborate a plan of revenge against those who betrayed him."
258,2011-03-04,Rango,135000000,123477607,245724600,38079323,PG,Adventure,3923,107,2011,107.0,United States,Gore Verbinski,7.1,7.04,7.0,"In the West wanders Rango, a chameleon in an identity crisis, who dreams of becoming such a hero. Following an accident he finds himself alone in the desert and in search of water he comes across a small town, held under the yoke of bandits and unscrupulous businessmen."
259,2013-07-17,Turbo,135000000,83028130,286896578,21312625,PG,Adventure,3809,96,2013,96.0,United States,David Soren,5.5,5.5,5.0,"Turbo is a garden snail who dreams of becoming the greatest runner in the world and emulating his idol Guy Gagné, five-time champion of the Indianapolis 500. The obsession with speed has made Turbo an outsider to the snail community and even embarrassed his older brother Chet when something unthinkable happens. A strange accident gives Turbo an incredible speed that pushes him to embark on an extraordinary adventure to compete against the best participants of the IndyCar."
260,2016-06-02,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,35316382,PG-13,Adventure,4071,112,2016,112.0,United States,Dave Green,4.1,3.8,4.0,"The city of New York (and beyond) is again under threat. The four mutant turtles Michelangelo, Donatello, Raffaello and Leonardo, still join forces to avert the worst, aided by the fearless journalist April O'Neil."
261,2006-07-28,Miami Vice,135000000,63478838,164920076,25723815,R,Action,3026,132,2006,134.0,"Germany, United States",Michael Mann,7.1,7.33,7.0,"Detectives Ricardo Tubbs and Sonny Crockett are working undercover to frame Montoya, a major drug dealer. They pretend to be skilled couriers and start working for him. But Sonny falls in love, reciprocated, with Montoya's beautiful wife, Isabella ..."
262,2018-10-31,The Nutcracker and the Four Realms,132900000,54858851,170024300,20352491,PG,Adventure,3766,99,2018,99.0,United States,Lasse Hallström,5.6,5.25,6.0,"All Clara wants is a one-of-a-kind key, capable of opening a box containing a priceless gift received from her dead mother. A golden thread leads her to the coveted key, which promptly disappears into a strange and parallel world. It is here that Clara meets a soldier named Philip, a gang of rats and the regents who preside over three different Realms: the Land of Snowflakes, the Land of Flowers and the Land of Sweets. Clara and Philip will have to challenge the ominous Fourth Kingdom, home of the tyrannical Mother Stork, to recover the key and restore harmony to the fantastic world."
263,2005-06-24,War of the Worlds,132000000,234280354,606836535,64878725,PG-13,Action,3910,116,2005,116.0,United States,Steven Spielberg,5.8,5.59,6.0,"After a long time, divorced Ray Ferrier is about to spend a weekend with children Robbie and Rachel. Suddenly, however, a strange device emerges from the ground and incinerates everything it encounters: it is the beginning of the attack of the aliens on Earth. In general panic, Ray tries to save his children ..."
264,2013-11-15,The Hunger Games: Catching Fire,130000000,424668047,864868047,158074286,PG-13,Adventure,4163,146,2013,146.0,United States,Francis Lawrence,5.8,5.61,6.0,"Katniss Everdeen (Jennifer Lawrence) returns home safely after winning the 74th annual Hunger Games alongside tribute Peeta Mellark (Josh Hutcherson). Having won, however, means having to leave family and friends to embark on the ""victory tour"" for the different districts. Along the way, Katniss realizes that a rebellion is starting to take shape while in Capitol City, President Snow (Donald Sutherland), regardless of the situation, thinks about organizing the new Hunger Games, an edition destined to change Panem forever. ."
265,2004-05-31,Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708,93687367,PG,Adventure,3855,141,2004,136.0,United States,Alfonso Cuarón,6.9,6.85,7.0,"Upon arriving at Hogwarts for his third year, Harry discovers that the dangerous killer Sirius Black has escaped from Azkaban prison, where the evil wizards are held, and has set out on his trail. And this time Harry can't even count on his closest friends, as a traitor is hiding among them ..."
266,2007-08-03,The Bourne Ultimatum,130000000,227471070,444043396,69283690,PG-13,Thriller/Suspense,3701,113,2007,112.0,"United States, Germany",Paul Greengrass,7.3,7.55,7.0,"Jason Bourne, after the events of the second episode, is in Russia, on the run from the authorities. Leaving Moscow, the agent discovers that a program similar to the one where he was trained has been activated in America and will finally be an opportunity to face his past. The journey to the truth is, as usual, very convoluted: Paris, London, Turin, Madrid, New York, Tangier."
267,2018-07-03,Ant-Man and the Wasp,130000000,216648740,623144660,75812205,PG-13,Action,4206,118,2018,118.0,United States,Peyton Reed,6.1,6.0,6.0,"Scott Lang must face the consequences of his choices as both a superhero and a father. As he struggles to manage his family life and responsibilities as Ant-Man, he is given a new and urgent mission by Hope van Dyne and Dr. Hank Pym. Scott will once again have to don his suit and learn how to fight alongside the Wasp as the team tries to shed light on the secrets of their past."
268,2008-06-06,Kung Fu Panda,130000000,215434591,631910531,60239130,PG,Adventure,4136,91,2008,92.0,United States,"Mark Osborne, John Stevenson",6.8,6.79,7.0,"Po is a plump panda with a passion for kung fu, but actually a waiter by profession in his father's Noodle Shop. During the village festivities, he is identified by an old martial arts master as the one chosen to become the ""Dragon Warrior"". A very hard apprenticeship begins for him alongside his heroes, who now can't stand it. But he will have to hurry to learn kung fu because a threat looms over the entire valley."
269,2015-07-14,Ant-Man,130000000,180202163,518858449,57225526,PG-13,Action,3868,117,2015,115.0,"United States, Great Britain",Peyton Reed,6.5,6.5,6.0,"Armed with the extraordinary power that allows him to shrink and increase his strength at the same time, con man Scott Lang (Paul Rudd) must help his mentor, Dr. Hank Pym (Michael Douglas), protect the secret of his incredible suit. from Ant-Man from new and growing threats. Facing obstacles that seem insurmountable, Pym and Lang must organize a heist that will save the world."
270,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2008,95.0,France,Ursula Meier,7.0,6.89,7.0,"The peaceful existence of a family is threatened by a highway. Marthe, Michel and their three children refuse to move somewhere else, they try to adapt, but they cannot avoid clashing with the tensions that this unpleasant novelty entails ..."
271,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2015,94.0,United States,Tim Johnson,5.0,4.5,5.0,"When Earth is taken over by the confident Boovs, an alien race looking for a new place to call home, all humans are ready to be relocated as the Boovs rearrange the planet. The enterprising Tip, however, manages to avoid capture by finding an accomplice in Oh, an alien banished from his fellows. The two on the run will soon realize that there is something more at stake than a simple matter of intergalactic relationships, embarking on a road trip destined to change their lives."
272,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2014,91.0,United States,Nicholas McCarthy,5.4,5.6,5.0,"When asked to sell a house with a troubled past, ambitious real estate agent Leigh crosses paths with that of a troubled girl, who turns out to be the couple's runaway daughter who wants to get rid of the property. Trying to come to her rescue, Leigh will have to deal with a supernatural force that will also lure her sister Vera into her trap."
273,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2016,103.0,Belgium,Fien Troch,6.6,6.67,7.0,"Sixteen-year-old Kevin has just been released from a detention facility. Since he cannot go home, he goes to live with his aunt's family. Will the new residence allow him to save him from the world of juvenile delinquency or will Kevin lose his chance at redemption?"
274,2015-03-19,Home,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2020,100.0,"Germany, France, Netherlands",Franka Potente,6.0,6.0,6.0,"After twenty years in prison, Martin returns to the small town where he grew up. Here, he must re-establish the lost bond with his mother who, suffering from cancer, has not yet forgiven him for the murder he committed. Despite his prejudices, Marvin will try to make up for lost time and start his personal path towards redemption."
275,2018-12-19,Mary Poppins Returns,130000000,171958438,348901032,23523121,PG,Musical,4090,130,2018,124.0,United States,Rob Marshall,5.5,5.45,6.0,"In 1930s London, Michael and Jane have now grown up. Michael, his three children and their housekeeper Ellen, live in Cherry Tree Lane when, after a painful personal loss, the enigmatic nanny Mary Poppins returns to the life of the Banks family. With the help of the optimist lamplighter Jack, Mary Poppins will use her magical skills to help the family rediscover joy and happiness by relying on her extravagant connections."
276,2011-10-28,Puss in Boots,130000000,149260504,554987477,34077439,PG,Adventure,3963,90,2011,90.0,United States,Chris Miller,6.1,6.25,6.0,"Before meeting the ogre Shrek and changing his inclinations, Puss in Boots, sly but with sweet eyes, put his charm at the service of all the innocents who needed his help. Armed with a sword and wearing his black cape, the feline - with the complicity of the egg Humpty Dumpty, true mind of the group, and the stray cat Kitty - tries to achieve a difficult task: stealing the famous Goose from the eggs. gold that grants great power to two outlaw assassins."
277,2010-11-05,Megamind,130000000,148415853,321887208,46016833,PG,Adventure,3949,95,2010,95.0,United States,Tom McGrath,6.6,6.36,7.0,"Megamind is intent on conquering the world by any means. Human with an alien appearance, he is the nemesis of Metro Man, the classic good, handsome and muscular superhero who fights every day to protect the defenseless citizens who adore him. But one day suddenly, Metro Man passes away. Without the usual enemy, Megamind finds himself ""unemployed"" and falls into depression. He does not know that it will be up to him to replace the opponent in the defense of Planet Earth from the attack of a monstrous creature."
278,2003-07-18,Bad Boys II,130000000,138540870,273271982,46522560,R,Action,3202,140,2003,147.0,United States,Michael Bay,4.7,4.67,5.0,"Miami narcotics team detectives Mike Lowrey and Marcus Burnett are on a task force to stem the spread of ecstasy in the city. Unintentionally, they discover a grandiose conspiracy involving a ruthless drug lord, willing to kill anyone who intrudes on his plans to control all drug trafficking. To complicate the situation comes Syd, Marcus's sister and undercover agent of the drug team."
279,2014-03-20,Rio 2,130000000,131538435,492846291,39327869,G,Adventure,3975,101,2014,101.0,United States,Carlos Saldanha,5.2,5.4,5.0,"Blu, Gioiel and their three children live perfectly tame in the splendor of the magical city of Rio de Janeiro. When he decides to teach his children how to survive from birds in the wild, Gioiel insists that the family travel to the Amazon, where the call of nature and new neighbors will give Blu a lot of worries."
280,2010-07-23,Salt,130000000,118311368,290650494,36011243,PG-13,Thriller/Suspense,3612,100,2010,100.0,United States,Phillip Noyce,5.0,4.73,5.0,"As a CIA officer, Evelyn Salt has sworn allegiance to her homeland. A loyalty questioned when a defector accuses her of being a Russian spy. Convinced that she is the victim of a conspiracy, Evelyn Salt escapes and manages to avoid being captured. But his behavior rather than proving his innocence only manages to fuel further doubts about him."
281,2014-03-27,Noah,130000000,101200044,352831065,43720472,PG-13,Drama,3571,137,2014,134.0,United States,Darren Aronofsky,5.3,5.42,5.0,"Noah (Russell Crowe), grandson of the biblical Methuselah (Anthony Hopkins), is haunted by constant visions of an apocalyptic flood. For this reason, he decides to take all necessary measures to ensure the survival of his family and begins the construction of a gigantic ark."
282,2013-05-31,After Earth,130000000,60522097,251499665,27520040,PG-13,Action,3401,99,2013,100.0,United States,M. Night Shyamalan,4.9,4.81,5.0,"A millennium of years after the Earth was struck by the cataclysms that forced mankind to move to the planet Nova Prime, General Cypher Raige (Will Smith) returns home after a long mission and is ready to be the father to the thirteen year old son Kitai (Jaden Smith). While aboard their spaceship, Cypher and Kitai are hit by an asteroid storm that sends them crashing to Earth, which has in the meantime become very wild and dangerous. Because Cypher is badly injured and unable to leave the cockpit, Kitai ventures into hostile territory to find their missing rocket."
283,2008-11-26,Australia,130000000,49554002,215080810,14800723,PG-13,Drama,2721,165,1989,118.0,"France, Switzerland, Belgium",Jean-Jacques Andrien,6.1,6.0,6.0,"From Terrowie in Southern Australia, where he emigrated twenty years earlier, the wool merchant Edouard Pierson returns to Verviers, Belgium, to save the factory he co-owns with his brother from bankruptcy. He will succeed in his intent and have a love affair with Adrienne, the wife of a lawyer: but the call of Australia (and the daughter who left you) is stronger than anything else ..."
284,2008-11-26,Australia,130000000,49554002,215080810,14800723,PG-13,Drama,2721,165,2008,155.0,"United States, Australia",Baz Luhrmann,5.2,4.82,6.0,"In Australia, in the run-up to World War II, an English aristocrat inherits a gigantic ranch and is faced with a plot hatched by another landowner who wants to take possession of his lands and livestock. To save her property, she is forced to come to terms with a rude local farmer, who agrees to accompany her with a herd of 1,500 heads on a journey through the most hostile lands of the outback. They will witness the bombing of the Japanese forces at the port of Darwin, the most dramatic war action ever suffered by the Australian nation."
285,2013-07-19,R.I.P.D.,130000000,33618855,79076678,12691415,PG-13,Action,2852,98,2013,96.0,United States,Robert Schwentke,4.7,4.55,5.0,"Nick (Ryan Reynolds) is a young cop who, after being killed for disrupting the plans of an unscrupulous criminal (Kevin Bacon), is hired for a special afterlife police team, the Rest In Peace Department. The goal of these cops is to allow their newly dead colleagues to rest in peace after finding out who killed them and carrying out their revenge. In the search for the culprit of his death, Nick is joined by a gunslinger (Jeff Bridges), who was murdered hundreds of years earlier."
286,2019-01-03,How to Train Your Dragon: The Hidden World,129000000,160799505,521214533,55022245,PG,Adventure,4286,104,2019,94.0,United States,Dean Deblois,6.5,6.25,7.0,"Hiccup and Toothless finally discover their true destiny: the former as governor of Berk and the latter as a leader of his own kind. As they both get used to the new life, the darkest threat they have ever faced will test their bond."
287,2000-05-19,Dinosaur,127500000,137748063,356148063,38854851,PG,Adventure,3319,82,2000,97.0,United States,"Ralph Zondag, Eric Leighton",5.9,5.8,6.0,"In the Cretaceous Aladar an iguanodon separated from the herd while still locked in an egg is raised on an island by a group of lemurs. But when a meteor shower throws his world into complete chaos, Aladar seeks and finds refuge on dry land. Here he joins a group of dinosaurs who are fleeing to a safe place. The pack, however, is forced to defend itself from the constant threat of ravenous predators."
288,2017-02-23,Logan,127000000,226277068,614202315,88411916,R,Action,4071,135,2017,135.0,United States,James Mangold,7.2,7.26,7.0,"Many years have passed since the events narrated in X-Men - Days of Future Past. The X-Men no longer exist, the mutants are fewer and fewer, Logan has aged prematurely and his regenerative power is weakening. What's more, Charles Xavier has lost his powers, undermined by advancing Alzheimer's. It is with this unhappy picture that Logan is forced to get back to work to protect Laura, a teenager with the same characteristics as a mutant."
289,2014-12-18,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,17100520,PG,Adventure,3914,97,2014,97.0,"United States, Great Britain",Shawn Levy,4.4,4.22,5.0,"When the attractions of the Natural History Museum of New York, which come to life at night, begin to behave abnormally, former caretaker Larry (Ben Stiller), recently become director of night operations, is called to find out why. The tablet, which magically brings creatures to life, has begun to fall apart and the only way to safeguard it is in the tomb of Egyptian pharaoh Ahkmenrah in the British Museum. Intent on doing everything to save their nocturnal friends, Larry, son Nick and the attractions set off for London, where they will discover the secret of the Table."
290,2014-11-19,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,121897634,PG-13,Thriller/Suspense,4151,123,2014,125.0,United States,Francis Lawrence,5.0,4.69,5.0,"Surviving the 75th edition of the Hunger Games, Katniss Everdeen has more troubles ahead of her. While Peeta is in the hands of President Snow, Katniss has reluctantly become the symbol of a rebellion that will soon turn into war."
291,2019-12-04,Jumanji: The Next Level,125000000,316831246,798332900,59251543,PG-13,Adventure,4227,123,2019,114.0,United States,Jake Kasdan,5.6,5.38,6.0,"Returning to the crazy world of the Jumanji game to save Spencer, friends Martha, Fridge and Bethany discover that nothing is as they left it. They will thus find themselves facing unknown and unexplored areas, from arid deserts to snow-capped mountains, to harness their new abilities and to face unprecedented dangers."
292,2010-11-17,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,951767705,125017372,PG-13,Adventure,4125,146,2010,146.0,"Great Britain, United States",David Yates,6.3,6.2,6.0,"After Dumbledore's death, Harry, Hermione and Ron leave Hogwarts and set out in search of the remaining horcruxes, the objects in which Lord Voldemort has imprisoned a part of his soul. Their aim is to destroy them so that they can kill the Dark Lord once he is mortal again."
293,2006-05-19,The Da Vinci Code,125000000,217536138,767820459,77073388,PG-13,Thriller/Suspense,3757,152,2006,149.0,United States,Ron Howard,5.0,4.63,5.0,"The night before the appointment with Professor Robert Langdon, the curator of the Louvre museum is murdered. Langdon becomes the main suspect, but with the help of Sophie Neveu he discovers clues that lead to a religious sect that has been hiding a terrible secret for two thousand years ..."
294,2003-04-30,X-Men 2,125000000,214949694,406348630,85558731,PG-13,Action,3749,135,2003,133.0,United States,Bryan Singer,6.7,6.5,7.0,"The Mutant Academy is attacked by enemy forces, but the X-Men are engaged in the hunt for a murderous mutant who wants to attempt the President's life. The news of the assault provokes a violent protest against the mutants from the public opinion, which badly supports them. In this context, many are asking for the reintroduction of the Mutant Registration Act: among the most staunch defenders of this idea, William Stricker, a soldier suspected of having conducted experiments on mutants ..."
295,2011-04-21,Fast Five,125000000,210031325,630163454,86198765,PG-13,Action,3793,130,2011,130.0,United States,Justin Lin,5.2,5.09,5.0,"Ex-policeman Brian O'Conner, who has gone over to the side of crime, is now paired with Dom Toretto and has been on the run with him from nation to nation ever since helping him escape controlled freedom. But now they are in Rio de Janeiro and their backs are against the wall: to earn their freedom they will have to do one last job. They then put their team of experienced drivers back on track. On their trail, however, there are various characters, including the feds, led by Luke Hobbs, who unleashes his team on the heels of the two."
296,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,101,1990,99.0,United States,Steve Barron,6.1,6.0,6.0,"The members of the Foot Club, a gang of young delinquents led by a Japanese with a masked face, sows panic among New Yorkers. Helped by Casey Jones, a young man armed with clubs, the ninja turtles intervene once again to save April, a young journalist attacked by criminals. In response, the Foot Club organizes the kidnapping of the mouse Splinter, spiritual master of the Ninja."
297,2014-08-08,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,101,2014,104.0,United States,Jonathan Liebesman,4.3,4.46,4.0,"New York City has fallen into darkness and needs a group of heroes to save it. From the police to the politicians, everyone fears the iron fist of Shredder and his Foot Clan and the future looks uncertain until four outcast and unlikely brothers emerge from the sewers to meet their fate as mutant Ninja Turtles. In close contact with intrepid journalist April and her cameraman Vern Fenwick, the turtles will work to save the city and thwart Shredder's evil plans."
